ReportingPlant,Licensee,Jul.Sep.2018,Oct.Dec.2018,Jan.Mar.2019,Apr.Jun.2019,2018
BENTREI FERTILIZER COMPANY LLC,F002622,,22,6.15,165.66,193.81
Bertels B.V,F002201,3.5,2,22,2.6,30.1
"BIG BEND AGRI-SERVICES, INC.",F000696,423.32,222.06,352.93,533.3,"1,531.61"
"Bio Basics, LLC",F002042,,7,26,24,57
Bio Perfoma NXI,F002656,,1,,,1
"Biofeed Solutions, Inc.",F002264,,,,13.88,13.88
"Bio-Gro, Inc.",F002749,,,,5.66,5.66
BIOGROW USA CORP.,F001733,,,4,2,6
"BioPro Technologies, LLC",F002182,4,1,2,1,8
"BioSaphe, Inc.",F002685,,,0.03,0.06,0.09
"BioWorks, Inc.",F001962,1,2,2,3,8
Black Earth Humic LP,F002549,40.58,,,,40.58
BLACK GOLD COMPOST CO.,F000117,"3,146.50","7,547.79","5,389.84","2,553.54","18,637.67"
"BLACK GOLD ENVIRO-SAFE, INC.",F001790,8.65,11.67,13.01,18.7,52.03
Bloom Brothers Garden Supply Inc.,F002185,0.3,3.18,3.28,7.72,14.48
"BONIDE PRODUCTS, INC",F001290,0.41,0.84,0.24,0.6,2.09
BORATES PLUS INC,F001810,44,347,342,236,969
BOTANICARE,F001330,8.45,6.71,14.91,9.16,39.23
BOUGAINVILLEA GROWERS INTERNATIONAL,F001557,,92.91,152.28,146.35,391.54
"Bountygreens, LLC",F002447,41,60,125,125,351
Bradex Inc.,F001973,20,22,,,42
"BRANDT CONSOLIDATED, INC.",F000076,22.83,21.16,25.89,22.94,92.82
BRANDT iHammer,F002222,3,4,3,2,12
BREWER INTERNATIONAL,F001371,2,9,4,5,20
BRIDGEWELL AGRIBUSINESS LLC,F001806,,,,22,22
"BULLOCH FERTILIZER CO., INC.",F001579,104.24,73.22,188.85,178.08,544.39
C.R. BROWN ENTERPRISES,F001776,126,,36,319,481
C.S.I. CHEMICAL CORPORATION,F001279,1.08,22.35,0.59,0.2,24.22
Calcium Products Incorporated,F001993,24,44,5,,73
"CALCIUM SILICATE CORPORATION, INC.",F001131,1,3,,1,5
CANNA CONTINENTAL,F001670,36,26.25,27,26,115.25
Cape fear chemicals inc.,F002509,5,,4,7,16
Carolina Eastern-Outdoors,F002639,,,,22,22
CENTRAL AQUATICS,F001656,0.5,1,1,1,3.5
CENTRAL FLORIDA FERN COOPERATIVE,F000013,469.52,581.15,447.97,381.35,"1,879.99"
Central Garden & Pet Garden Division,F002063,5.14,13.87,119.35,59.72,198.08
"Charlotte County Bio-Recycling Center, LLC",F002119,"2,887.95","2,845.80","3,020.60","4,033.40","12,787.75"
CHEMICAL DYNAMICS,F000910,674.47,"4,021.00","3,673.47","1,952.13","10,321.07"
Chrysal International BV,F002028,2,,,2.6,4.6
City of Tallahassee,F002071,174.45,151.34,941.34,538.26,"1,805.39"
"CLARK PLANT NUTRIENTS, INC",F001611,88.33,0.23,0.38,1.8,90.74
CNI AGRIMINERALS LLC,F001252,6.2,28.84,40.36,33.12,108.52
Coastal Fertilizer,F001987,14.91,19.65,13.24,23.59,71.39
"COASTAL PLAINS FARMERS CO-OP, INC.",F000950,53,43,47,69,212
"Coggins Farm Supply Georgia, LLC",F002030,"1,424.76","1,133.65","3,419.48","8,952.51","14,930.40"
"Cold Spring Egg Farm, Inc*",F002430,150,,,212.88,362.88
Compass Minerals Ogden Inc.,F002373,"4,948.00","10,163.00","9,047.00","6,363.00","30,521.00"
Compass Minerals USA Inc.,F002162,9.26,130.77,6.18,22.59,168.8
Compass Minerals Wynyard Inc.,F002435,322,249,461,315,"1,347.00"
"Complete Hydroponics, LLC",F001985,2.5,1.01,1.01,1.02,5.54
Concept AG,F002294,0.02,0.04,,,0.06
Cool Planet Energy Systems,F002193,39.25,4.6,1.1,,44.95
"CROMARTIE AGRICULTURE CHEMICAL,  INC.",F001093,1,,3,22,26
"CROWN TECHNOLOGY, INC.",F001325,29,58,73,62,222
"Crystal Clear, Inc",F002094,0.01,,,,0.01
Cultured Solutions,F002251,,,,1,1
"CUSTOM AGRICULTURAL FORMULATORS, INC.",F001286,7,7,5.87,6.1,25.97
CX Horticulture,F001856,,,,1,1
"Darling Ingredients, Inc.",F001024,"1,290.00","1,619.00","1,426.00",304,"4,639.00"
DAVEY TREE EXPERT COMPANY (THE),F000307,1,1,,1,3
David Austin Roses,F002271,0.04,0.03,0.21,0.06,0.34
"DFP Ag Services, LLC",F002713,,,7.6,28.44,36.04
"DIAMOND K GYPSUM, INC.",F002051,31.5,22.5,28.5,22.5,105
DIAMOND R FERTILIZER,F000159,"6,532.38","7,207.73","12,032.43","9,554.63","35,327.17"
"DIAMOND R FERTILIZER CO., INC.",F000609,"17,428.05","25,766.43","40,884.88","34,378.73","118,458.09"
,F001573,28.68,65.99,135.2,92.17,322.04
DOGGETT CORPORATION (THE),F000065,,,2,,2
"DOLLAR FARM PRODUCTS CO., INC.",F000312,155.31,5.87,17.24,,178.42
"DOMESTIC FERTILIZER, INC.",F000542,,,1.56,0.1,1.66
Dragan Macura,F002520,84,181,108.07,10.22,383.29
DREXEL CHEMICAL COMPANY,F001743,13,13,62,29,117
DYNA-GRO CORPORATION,F000244,1.12,1.14,3.37,3.26,8.89
EARTH WORKS,F001399,,35,45,132,212
"Earthworm Castings Unlimited, LLC",F002165,,,25,12,37
"EASY GARDENER, INC.",F001262,19.11,38.56,102.04,40.07,199.78
"EcoScraps, Inc.",F002052,160.21,24.11,,,184.32
Emerald Coast Utilities Authority,F002000,398.5,853.27,460.3,111.32,"1,823.39"
Emerald Harvest,F002274,102,77,167,187,533
"ENCAP, LLC",F001430,,0.25,0.5,0.1,0.85
"ENP Investments, LLC",F001502,7,12,7,12,38
"EnviroKure, Inc",F002323,6.5,,,,6.5
"Enviva Pellets Cottondale, LLC",F002336,"2,022.00","1,991.85","1,653.38","2,562.85","8,230.08"
"ERTH Products, LLC",F002728,,,47,68,115
ESCAMBIA GRAIN CORP.,F001003,78.54,130.13,124.53,213.98,547.18
"ESPOMA COMPANY, THE",F001381,30,,103,56,189
Essential Green LLC,F002374,18,3,21,14,56
"EVERRIS NA, INC.",F001877,831.49,919.69,738.58,633.08,"3,122.84"
Evonik Corporation,F002348,67,249,12.48,301,629.48
EXCELAG CORPORATION,F001442,3,3,3,3,12
FARMERS COOPERATIVE INC.,F000061,880.99,552.57,755.91,"2,144.73","4,334.20"
"FARMERS COOPERATIVE, INC. OF LIVE OAK",F000202,"1,336.00",496,"1,237.00","3,844.00","6,913.00"
Farmers Gold Organic Plant Food Company,F002517,49.39,15.12,14.11,42.34,120.96
Fertile Peat Products LLC,F002376,,,1,,1
"Field 16, LLC.",F002161,,,3,2,5
Fish Sh!t,F002636,,1,0.5,1,2.5
FLORALA FARMERS & BUILDERS CO-OP,F000181,340.88,225.89,401.11,943.43,"1,911.31"
"FLORATINE PRODUCTS GROUP, INC.",F001008,107,151,64,114,436
"FLORIDA FERTILIZER COMPANY, INC.",F000236,"5,692.88","5,306.38","12,194.14","11,339.50","34,532.90"
FLORIDA ORGANIX,F001886,50,350,175,75,650
"FLORIDA PHOSPHORUS, INC.",F001201,11.25,11.75,12.4,11,46.4
"FLORIKAN E.S.A., LLC",F001062,"3,141.00","3,006.00","3,860.00","2,699.00","12,706.00"
"FORESTRY RESOURCES, INC.",F001484,32.61,79.77,112.38,,224.76
FR LLC dba The Mulch and Soil Company,F002686,,,"1,547.57",439.44,"1,987.01"
Front Row Ag LLC,F002681,,3,,,3
"G. P. SOLUTIONS, LLC",F001521,584.75,354.75,828,606,"2,373.50"
"Galaxy Sulfur, LLC",F002280,132.55,"6,550.15","1,413.58",468.62,"8,564.90"
GENERAL HYDROPONICS,F002262,1,6.72,9.31,25.36,42.39
"GENERAL HYDROPONICS, INC.",F001109,18.6,21.11,16.9,11.46,68.07
GENERAL ORGANICS,F002261,,,0.76,,0.76
"GILES CHEMICAL, DIV. OF PREMIER CHEMICALS, LLC",F001120,89.42,56.35,509.8,649.49,"1,305.06"
Glades Formulating Corp,F002666,,69.6,162.9,196.7,429.2
Gonzalez Enterprises,F002034,"1,597.08",952.31,"2,227.40","1,873.76","6,650.55"
GRACO FERTILIZER COMPANY,F000316,362,158,393,913,"1,826.00"
Green Farm Innovations,F002452,3,3,,,6
"GREEN INDUSTRIES, INC.",F001778,6,,,,6
"GREEN TECHNOLOGIES, LLC.",F001338,215.27,349.5,120,262.65,947.42
"GREENCARE FERTILIZERS, INC.",F001159,,22,16,2.5,40.5
"Greenstar Plant Products, Inc.",F001665,2.41,3,1.52,2.95,9.88
GREEN-WAY INC.,F000994,40,56,44,37,177
GRIFFIN FERTILIZER  - LA BELLE LIQUID PLANT,F001321,"3,033.89","4,070.49","4,195.64","4,500.38","15,800.40"
GRIFFIN FERTILIZER - FROSTPROOF,F000328,"8,521.34","14,422.26","17,244.99","15,379.20","55,567.79"
Griffin Fertilizer Company,F002043,"4,952.90","2,643.73","6,980.26","8,675.22","23,252.11"
GRIFFINS WAREHOUSE BLACKSHEAR,F001627,48.48,,3.6,42.52,94.6
"GRO TEC, INC.",F000525,340.15,780.28,"3,306.51","1,036.98","5,463.92"
Growcentia,F002283,0.06,0.04,0.27,0.29,0.66
GROWERS CHEMICAL CORP.,F001624,1,1,,1,3
GROWERS FERTILIZER CORPORATION,F000336,"11,974.00","8,957.00","1,890.00",,"22,821.00"
GROWER'S SECRET,F001840,,3.3,,5.5,8.8
GROWERS SUPPLY CENTER,F000920,0.08,0.04,0.26,0.04,0.42
"GROWERS SUPPLY SERVICE, INC.",F000691,22.5,24.2,24.5,36.5,107.7
"Growing Solutions, Inc.",F002277,0.12,7.64,16.2,,23.96
"GROWTH PRODUCTS, LTD.",F000106,20,12,22,19,73
"GULF COAST ORGANIC, INC.",F002417,2.42,6,2.96,3.46,14.84
"H & H LIQUID SLUDGE DISPOSAL, INC.",F001753,105.95,,387.71,356.82,850.48
"HAIFA NORTH AMERICA, INC.",F001865,629,677,"1,382.00","1,032.00","3,720.00"
"HARRELL''S, LLC",F000352,"8,626.68","9,682.70","11,425.30","10,420.67","40,155.35"
"Harsco Metals and Minerals, a Division of Harsco Corporation",F002056,43,,21.5,,64.5
Hartford Farmer's Co-op,F002473,142.39,95.09,194.69,432.09,864.26
HARVEST CONSUMER PRODUCTS LLC,F002169,147.57,77.43,437.05,213.18,875.23
"Harvest Power Orlando, LLC",F002095,328.71,259.52,491.75,604.32,"1,684.30"
Heart Of Nature,F002654,,22,,22.27,44.27
"Helena Agri-Enterprises, LLC",F002593,,"3,233.03",,"6,259.42","9,492.45"
,F002594,,"15,452.00",,"9,210.30","24,662.30"
HELENA CHEMICAL CO.,F001491,"6,566.10",,"16,559.18",,"23,125.28"
HELENA CHEMICAL COMPANY,F000224,"3,451.47",,"6,130.76",,"9,582.23"
HIT Manufacturing,F002059,0.49,4.4,0.37,1.58,6.84
HI-TECH TURF PRODUCTS,F001761,11,6,2,14,33
Holganix,F001994,10.03,7.31,12.71,4.21,34.26
"HORTICULTURAL ALLIANCE, INC.",F001545,,,8,,8
"HOWARD FERTILIZER & CHEMICAL CO., INC.",F000387,"11,430.00","11,382.00","17,695.00","18,863.00","59,370.00"
,F001261,"10,874.00","11,239.00","16,569.00","14,589.00","53,271.00"
,F001925,"15,575.00","6,334.00","23,894.00","20,443.00","66,246.00"
"HOWARD JOHNSON'S ENTERPRISES, INC.",F000315,4,3,26,9,42
HPI Distribution Corp,F002285,,,0.03,,0.03
Huma Gro,F002352,0.08,0.29,4,1,5.37
"HUMATE INTERNATIONAL, INC.",F000650,7,10,10,27,54
HUMIC GROWTH SOLUTIONS,F001900,4,22,28,3,57
HYDRODYNAMICS INTERNATIONAL,F001507,1,1,3,2,7
HydroGro LLC,F002024,,9.34,,7,16.34
Hydroponic Research,F002660,,0.7,,1,1.7
HYDRO-STACKER LLC,F001609,,2,2,,4
HYPONEX CORPORATION,F000399,"5,544.68","3,395.19","6,354.04","4,829.48","20,123.39"
ICL PREMIUM FERTILIZERS NA,F001789,135.4,51.5,100.8,58.8,346.5
Immokalee Water and Sewer District,F002089,398.14,394.89,433.88,417.63,"1,644.54"
"IMPROCROP U.S.A., INC.",F001289,5,10,46,34,95
Innvictis Crop Care LLC,F002186,,,58.03,,58.03
"International Mulch Company, Inc.",F002167,6,13,34,11.08,64.08
"ISAGRO USA, INC.",F001844,,,4,2,6
"Italpollina USA, Inc.",F002407,1,,,1,2
J AND J BAGGING LLC,F002609,15,15,12,,42
"J. R. PETERS, INC.",F001313,33,50,32,39,154
J.R. SIMPLOT COMPANY,F001469,13.92,59.06,89.74,,162.72
,F001470,,,,69.07,69.07
"JAY PEANUT FARMERS COOPERATIVE, INC.",F000045,"2,399.44",455.29,"1,070.12","5,768.91","9,693.76"
"JH BIOTECH, INC.",F001416,4.39,27.77,10.89,2.27,45.32
"KEEN FARM & GROVE SERVICE, INC.",F001725,893.32,903.39,"1,069.50",394.28,"3,260.49"
Kellogg Garden Products,F002146,"1,132.10","1,147.72","3,810.06","3,875.85","9,965.73"
KELLY AG OF HARTFORD LLC,F001696,662.6,188.44,811.07,"2,723.81","4,385.92"
KEYPLEX,F000528,236,170,492,293,"1,191.00"
"KNOX FERTILIZER COMPANY, INC.",F001492,1,0.15,,,1.15
"KOCH AGRONOMIC SERVICES, LLC.",F001912,,21,,,21
LAKE BUTLER FARM CENTER,F000115,339.48,224.35,126.08,494.73,"1,184.64"
"LAWN AND GARDEN PRODUCTS, INC.",F001766,,3.71,,1.65,5.36
LEBANON SEABOARD CORPORATION,F000699,53,149,119,131,452
LEE COUNTY,F001827,491.61,"5,611.78","8,837.55","8,868.02","23,808.96"
"LESCO, INC.",F001560,"5,951.00","9,245.00","9,466.00","8,090.00","32,752.00"
LIBERTY ACRES FERTILIZER CORP.,F001495,48.65,358.5,631,486.15,"1,524.30"
"LIDOCHEM, INC.",F001129,206,119,187,249,761
"LIGNOTECH USA, INC.",F001563,137,154,106,51,448
LILLY MILLER BRANDS,F001475,4.19,9.16,21.45,12.4,47.2
Locus Agricultural Solutions,F002455,,,1.5,,1.5
"LOXAHATCHEE FERTILIZER, INC.",F001004,16,25.45,,,41.45
M&S Fertilizer and Farm Inc.,F002379,408.83,,,376.68,785.51
Mad Farmer,F002602,,,,0.08,0.08
MADRID FARM SERVICE,F001628,"1,811.16",268.68,980.18,"4,028.95","7,088.97"
"Magic Dirt Horticultural Products, LLC",F002510,,,190.33,76.89,267.22
MAR Green,F002366,,,2.16,0.1,2.26
MARTIN MARIETTA MAGNESIA SPECIALTIES LLC,F001769,242.05,719.56,72.24,123.57,"1,157.42"
MARTIN OPERATING PARTNERSHIP LP,F000661,44,44,67,,155
Master Plant-Prod Inc.,F000642,5,22,,,27
"Maxicrop USA, Inc.",F002387,8,2,1,3,14
MAYO FERTILIZER INC.,F001701,606.69,"1,024.59","4,354.85","9,008.68","14,994.81"
"MAYO FERTILIZER, INC.",F000395,"3,732.32","2,333.56","3,823.89","8,586.38","18,476.15"
,F001667,"8,775.37","6,452.00","17,191.52","30,716.10","63,134.99"
"Mears Fertilizer, Inc.",F001958,46.55,113.05,73.5,68.22,301.32
Meherrin Ag and Chemical,F002128,4.89,,,,4.89
MEHERRIN AGRICULTURAL & CHEMICAL CO.,F000612,8.56,,41.34,122.62,172.52
Merrell Bros. Inc.,F002257,956.83,947.56,903.75,"1,403.00","4,211.14"
MICHIGAN PEAT,F001764,79,62,258,105,504
"Micronomix, LLC",F001969,1,1,1,1,4
MightyGrow Organics,F001970,242,,5,,247
"MILLER CHEMICAL & FERTILIZER, LLC",F000501,116,152,230,108,606
MILWAUKEE METROPOLITAN SEWERAGE DISTRICT,F000648,912.33,"1,062.84","2,188.71","1,555.66","5,719.54"
"MIRACLE-GRO LAWN PRODUCTS, INC.",F001144,"8,032.14","8,907.03","29,258.69","26,077.97","72,275.83"
Mirimichi Green Express LLC,F002045,,1,,,1
"MITCHELL COUNTY FARM SERVICE, INC.",F001329,176.73,,29.57,265.2,471.5
"MONTY'S PLANT FOOD CO., INC.",F001360,,,6.39,7,13.39
NACHURS ALPINE SOLUTIONS,F000529,26.77,2.93,7.69,42.17,79.56
Natural Ag Inc,F002221,2,1,2,2,7
"NATURAL AG SOLUTIONS, LLC",F001765,69.4,24.79,76.07,77.94,248.2
Natural Technologies Inc,F002009,1,,,,1
New Millenium Garden Inc,F002140,28.48,14.34,56.87,79.91,179.6
NOVELTY MANUFACTURING,F001639,0.23,,,,0.23
Numerator Technologies Inc.,F002268,7.3,7.5,7.5,5.1,27.4
NURSERYMEN''S SURE-GRO CORP.,F000121,118.12,151.09,214.03,115.46,598.7
NUTECH,F002740,,,,17,17
nuTerra Management,F002241,570.27,681.84,712.38,,"1,964.49"
Nutriag LTD,F001468,,2.69,,,2.69
"Nutrien Ag Solutions, Inc.",F002610,695.97,,358.01,"1,009.46","2,063.44"
,F002611,"10,693.77","5,986.04","7,024.10","14,476.61","38,180.52"
,F002612,838.03,248.25,546.32,"1,725.48","3,358.08"
,F002613,"9,309.00","14,028.00","19,076.00","15,154.00","57,567.00"
,F002614,"5,000.00","5,106.00","8,195.00","8,281.00","26,582.00"
"Nutrien Ag Solutions, Inc.",F002616,"2,957.99",360.03,"3,927.62","8,677.14","15,922.78"
"NUTRIENT TECHNOLOGIES, LLC",F001881,2,5,6,2,15
"NUTRI-SOURCE, INC.",F001450,432.57,556.48,247.75,457.37,"1,694.17"
O.G.M.,F001255,,,,2,2
"OCEAN CREST SEAFOODS, INC.",F001249,18.16,1.3,1.45,0.12,21.03
OCEAN ORGANICS,F001762,2,,4,24,30
OLDCASTLE LAWN & GARDEN SOUTH,F001632,"6,291.00","8,392.00","15,424.00","12,791.00","42,898.00"
OMEGA PROTEIN INC,F001208,,,,48,48
OREGON'S ONLY,F001819,,4,5,,9
"Organic Growing Solutions, LLC",F002228,"1,278.67","1,611.00",433.51,299.95,"3,623.13"
"ORGANIC LABORATORIES, INC.",F001251,2,1,1,2,6
ORGANIC PRODUCTS CO/TURF PRO USA,F001763,319.75,176.5,394,312.5,"1,202.75"
"Oro Agri, Inc",F002559,5.04,12.33,12.46,0.76,30.59
"Ostara USA, LLC",F001791,6,22,43.91,104.24,176.15
"Pathway Biologic, LLC",F001654,0.92,0.98,1.02,0.78,3.7
PBI/GORDON CORPORATION,F000987,4.13,2.85,4.32,6.22,17.52
PCS SALES USA INC.,F001263,62.12,22,455.56,22,561.68
Pearl Valley Organix,F001986,207.5,102.5,8,,318
"PENNINGTON SEED, INC.",F001171,9,,50,3,62
PF Harris Manufacturing Co.,F002723,,,0.01,0.08,0.09
"PIERSON SUPPLY COMPANY, INC.",F001336,441.27,570.47,622,555.73,"2,189.47"
"Pinnacle Agriculture Distribution, Inc.",F002289,330,,25.51,386,741.51
,F002311,248,31,243.23,"1,393.00","1,915.23"
"Plant Food Company, Inc.",F002392,21,34,27,64,146
"PLANT FOOD SYSTEMS, INC.",F000248,402.87,387.08,591.87,443.02,"1,824.84"
"PLANT FOODS, INC.",F000572,276,280,422,333,"1,311.00"
"PLANT MARVEL LABORATORIES, INC.",F000593,4.2,3.3,6.4,1,14.9
"PLANT REVOLUTION, INC.",F001574,1,0.7,1,1,3.7
"Plant Science, Inc.",F001578,19,265,181,,465
Plant Tuff,F002546,12,,,,12
PLANTATION PRODUCTS DBA VITAMIN INSTITUTE/,F002184,1.83,1.06,2.37,2.92,8.18
SUPERTHRIVE,,,,,,
Plantation Products LLC,F002528,,0.08,,,0.08
"PRECISION LABORATORIES,LLC",F001467,,,0.19,,0.19
PRINCE ERACHEM S.A. DE C.V.,F001099,140,48,64,144,396
PRO PRODUCTS LLC,F001752,2.94,2.76,4.03,3.56,13.29
PRO SOL,F000619,,,3,,3
"ProPlus Products, Inc.",F002018,870,"1,613.00","1,684.00","1,319.00","5,486.00"
PROVEN WINNERS NA LLC,F001799,,27,,,27
"Purely Organic Products, LLC",F002190,2,0.53,0.99,2.43,5.95
"Pursell Agri-Tech, LLC",F002525,"1,817.83",627,"2,114.00","4,223.00","8,781.83"
QC CORPORATION,F001101,270,"3,649.00","3,029.00",403,"7,351.00"
"QUALITY BORATE CO., LLC",F001439,81.1,40,164,42,327.1
"Quality Green Specialists, Inc.",F002490,15,12,20,24,71
Quality Liquid Feeds Inc.,F002210,,,,48,48
QUEST PRODUCTS CORP,F001852,4,,2,3,9
"R.W. GRIFFIN INDUSTRIES, LLC",F001433,"1,302.50","1,948.23","1,919.38","1,691.18","6,861.29"
Rackology LLC,F002632,0.5,,,,0.5
Ralco Nutrition Inc.,F002564,0.02,,0.27,0.35,0.64
"REDOX CHEMICALS, LLC",F001388,8,23,23,13,67
REGAL CHEMICAL COMPANY,F000968,45.35,8.37,111.44,104.02,269.18
Remo Brands,F002489,0.25,,0.09,,0.34
Residex LLC,F002038,25,80,77.68,616,798.68
Revival Gardening,F002649,1,2,,,3
"RHINO SEED AND LANDSCAPE SUPPLY, LLC",F001924,,1,,1,2
Rhizoflora Inc,F002250,2,1,1,1,5
Rock Holdings (SA) PTY LTD,F001914,1,2,2,1,6
Rolf C Hagen USA Corp,F002413,1,0.5,1,1,3.5
"Rx Green Technologies, LLC",F002077,1,1,,,2
SBM Life Science Corp.,F002414,8,41,77.88,25,151.88
Schaeffer Manufacturing Co.,F002316,,0.02,2.01,,2.03
SCL Americas Inc.,F002370,10.4,,,,10.4
"SCOTTS MIRACLE-GRO PRODUCTS, INC.",F001198,72.44,99.49,284.64,110.21,566.78
"SDT INDUSTRIES, INC.",F001414,61,68,60,78,267
"SEAAGRI, inc.",F001999,,1,4,5,10
"SEACHEM LABORATORIES, INC.",F001506,0.8,1.07,0.27,0.85,2.99
Seasol Inc,F002499,,,0.02,,0.02
SHELLEY'S ENVIRONMENTAL SYSTEMS,F001871,74,72,85,,231
Sigma AgriScience,F001968,86,"1,739.00",667.5,,"2,492.50"
SJ Enterprises PTY LTD,F002050,6.69,1.65,1.52,20.94,30.8
Soil Technologies Corp,F002629,,1,2,2,5
SoilBiotics,F002565,23,69,143,,235
"Soilblend, Inc.",F002395,,5,,15,20
"SOLUTIONS 4 EARTH, LLC",F001980,,12.05,12.41,7.86,32.32
"SOUTHEAST PARTNERS, INC.",F001666,45.51,13.21,19.88,22.68,101.28
"SOUTHERN AGRICULTURAL INSECTICIDES, INC.",F000672,132.5,134,216,274.5,757
SOUTHERN ORGANICS & SUPPLY,F001981,6,6,3,4.07,19.07
"Southern States Cooperative, Inc.",F001310,22.55,56.96,143.44,176.8,399.75
SPECTRUM GROUP,F001074,3,6,11,3,23
"SPRAY-N-GROW, INC.",F000232,2,1,1,0.86,4.86
Stark Bros Nurseries & Orchards Co,F001928,,1,1,1,3
"Stoller Enterprises, Inc.",F002399,22,24,30,27,103
"SUL4R-PLUS, LLC",F002410,83.7,118.6,160.7,91.5,454.5
"SUN BULB COMPANY, INC",F000707,11.8,11.42,28.19,18.68,70.09
Sun Gro Horticulture Distribution Inc.,F001971,45,85,133,106,369
SUNLEAVES GARDEN PRODUCTS,F002494,2.68,0.33,1.06,,4.07
"Sunlight Supply, Inc.",F002456,,,,3.78,3.78
SUNNILAND  CORPORATION,F000099,"3,273.00","4,708.40","7,743.00","5,730.88","21,455.28"
SURE CROP,F002646,1.5,,,7.6,9.1
Sustainable Agro Solutions SA,F002524,,,2,7,9
"SustainScape, Inc.",F002671,,3.05,2.64,2.05,7.74
"SUSTANE NATURAL FERTILIZER, INC.",F000689,150,52.15,29,46,277.15
"SWISS FARMS PRODUCTS, INC.",F001305,"1,663.93","2,298.15","3,993.31","2,812.38","10,767.77"
"SYNAGRO-WWT, INC.",F001119,351.21,,97.47,417.41,866.09
"T BRAND FERTILIZER, INC.",F000404,48.91,"1,636.07","1,760.67",131.52,"3,577.17"
Ted Vickers Farms,F002008,3,,4,1,8
Terra Feed,F002073,202,66,230,114,612
"TerViva, Inc.",F002630,,2,,,2
"TESSENDERLO KERLEY, INC.",F000628,,4,4,3,11
"TETRA TECHNOLOGIES, INC.",F001480,28.47,93.51,112.11,89.14,323.23
