Licensee,ReportingPlant,Jul.Sep.2019,Oct.Dec .2019,Jan.Mar.2020,Apr.Jun.2020,2019
F002280,"Galaxy Sulfur, LLC","5,485.31","5,793.48",357.65,"3,542.26","15,178.70"
F002463,Gantec Inc,0,0,0,0.31,0.31
F002262,GENERAL HYDROPONICS,33.35,41.62,43.7,69.77,188.44
F001109,"GENERAL HYDROPONICS, INC.",5.41,41.62,4.06,2.8,53.89
F002696,General Minerals,0,0,0,2,2
F002261,GENERAL ORGANICS,0,0,0,2.14,2.14
F001120,"GILES CHEMICAL, DIV. OF PREMIER CHEMICALS, LLC",335.7,293.7,0,0,629.4
F002034,Gonzalez Enterprises,"2,744.44","1,650.66","2,616.07","1,426.83","8,438.00"
F000316,GRACO FERTILIZER COMPANY,235,136.5,292,388,"1,051.50"
F002655,Green House Feeding,0,0,0,0.01,0.01
F001338,"GREEN TECHNOLOGIES, LLC.",351,237,93,197,878
F001159,"GREENCARE FERTILIZERS, INC.",13.75,9.37,15.91,5,44.03
F002735,Greene County Fertilizer Company,63,102,135,105.6,405.6
F001665,"Greenstar Plant Products, Inc.",2.29,2.04,2.23,3.28,9.84
F000994,GREEN-WAY INC.,39,37,15,16,107
F001321,GRIFFIN FERTILIZER  - LA BELLE LIQUID PLANT,"1,638.47","2,636.20","4,121.29","4,685.63","13,081.59"
F000328,GRIFFIN FERTILIZER - FROSTPROOF,"9,018.86","14,281.04","16,736.90","17,792.14","57,828.94"
F002043,Griffin Fertilizer Company,"4,364.68","2,131.99","7,884.46","8,747.54","23,128.67"
F001627,GRIFFINS WAREHOUSE BLACKSHEAR,113.83,0,0,81.38,195.21
F000525,"GRO TEC, INC.",600,"1,166.00","3,738.00","1,402.00","6,906.00"
F002763,GRO-PRO,0,10.5,6.22,3.55,20.27
F002283,Growcentia,0.12,0.33,0.13,0.14,0.72
F001624,GROWERS CHEMICAL CORP.,0,0,2,3,5
F001840,GROWER''S SECRET,2.4,0,0,2.2,4.6
F000920,GROWERS SUPPLY CENTER,0.03,0.05,0.26,0.08,0.42
F000691,"GROWERS SUPPLY SERVICE, INC.",28,19,22.5,23,92.5
F002277,"Growing Solutions, Inc.",2.7,12.85,0.83,3.79,20.17
F000106,"GROWTH PRODUCTS, LTD.",902.98,421.21,92.92,0,"1,417.11"
F002417,"GULF COAST ORGANIC, INC.",1.09,0.32,3.74,4,9.15
F001753,"H & H LIQUID SLUDGE DISPOSAL, INC.",0,101.52,22.69,175.55,299.76
F001865,"HAIFA NORTH AMERICA, INC.","1,167.00","1,083.00",737,893,"3,880.00"
F000352,"HARRELL''S, LLC","8,439.02","9,951.94","12,016.72","10,693.31","41,100.99"
F002056,"Harsco Metals and Minerals, a Division of Harsco Corporation",42,2,22,23,89
F002473,Hartford Farmer''s Co-op,93,188.07,255.38,306.82,843.27
F002169,HARVEST CONSUMER PRODUCTS LLC,191.62,0,0,0,191.62
F002095,"Harvest Power Orlando, LLC",339.85,791.82,508.02,0,"1,639.69"
F002860,Harvey Fertilizer and Gas Co.,0,0,78,29,107
F002670,Hawthorne Hydroponics LLC,0,0,1.63,4.83,6.46
F002654,Heart Of Nature,22,0,0,0,22
F002594,"HELENA AGRI-ENTERPRISES, LLC",0,"13,685.96",0,"7,382.95","21,068.91"
F002593,"Helena Agri-Enterprises, LLC",0,"4,354.67",0,"6,261.36","10,616.03"
F001491,HELENA CHEMICAL CO.,"7,310.24",0,"19,172.45",0,"26,482.69"
F000224,HELENA CHEMICAL COMPANY,"3,959.68",0,"6,645.93",0,"10,605.61"
F002857,Helm Fertilizer Corporation,0,"1,568.03",0,0,"1,568.03"
F002059,HIT Manufacturing,3.13,0.37,5.5,5.2,14.2
F001761,HI-TECH TURF PRODUCTS,14,6,6,4,30
F001994,Holganix,0,23.88,0,0,23.88
F002479,"Hollister and Blacksmith, Inc.",2,3,0,0,5
F002327,Horizon Ag Products,88.3,17.19,71.26,87.01,263.76
F002772,"Horticultural Alliance, LLC.",1,2,4,3,10
F001261,"HOWARD FERTILIZER & CHEMICAL CO., INC.","9,806.00","17,664.00","36,115.00","16,081.00","79,666.00"
F001925,"HOWARD FERTILIZER & CHEMICAL CO., INC.","15,706.00","32,748.00","25,376.00","21,308.00","95,138.00"
F000387,"HOWARD FERTILIZER & CHEMICAL CO., INC.","9,751.00","23,256.00","20,534.00","17,058.00","70,599.00"
F000315,"HOWARD JOHNSON''S ENTERPRISES, INC.",1,24,12,2,39
F002352,Huma Gro,0,12,33,7,52
F000650,"HUMATE INTERNATIONAL, INC.",21,46,12,16,95
F001900,HUMIC GROWTH SOLUTIONS,26,14,23,6,69
F001507,HYDRODYNAMICS INTERNATIONAL,2,1,1,2,6
F002024,HydroGro LLC,0,4,0,0,4
F002660,Hydroponic Research,0,1,0,0,1
F001609,HYDRO-STACKER LLC,0,3,3,3,9
F000399,HYPONEX CORPORATION,"3,675.48","3,677.95","4,736.89","8,187.64","20,277.96"
F001789,ICL PREMIUM FERTILIZERS NA,24.2,28.4,112,18.9,183.5
F002089,Immokalee Water and Sewer District,289.26,411.13,451.75,437.14,"1,589.28"
F001289,"IMPROCROP U.S.A., INC.",3,11,7,9,30
F002782,"In The Dirt, LLC",2.98,1.01,0,0,3.99
F002167,"International Mulch Company, Inc.",1,5.49,0,0,6.49
F002847,"ISAGRO USA, Inc.",0,0,1.46,0,1.46
F002609,J AND J BAGGING LLC,13,15,12,0,40
F001313,"J. R. PETERS, INC.",13,37,43,61,154
F001470,J.R. SIMPLOT COMPANY,130.53,35.86,54.55,85.95,306.89
F000045,"JAY PEANUT FARMERS COOPERATIVE, INC.","1,739.62",483.11,"1,471.35","4,551.27","8,245.35"
F001416,"JH BIOTECH, INC.",1.06,36.48,6.2,7.19,50.93
F001725,"KEEN FARM & GROVE SERVICE, INC.",0,0,693.32,870.19,"1,563.51"
F002146,Kellogg Garden Products,"1,361.03","1,758.59","3,614.82","7,098.44","13,832.88"
F001696,KELLY AG OF HARTFORD LLC,"1,823.45",415.53,"1,139.17","3,630.27","7,008.42"
F002872,KENTWOOD CO-OP,0,0,15.16,90.55,105.71
F002922,Key To Life,0,0,0,1,1
F000528,KEYPLEX,286,115,474,174,"1,049.00"
F001492,"KNOX FERTILIZER COMPANY, INC.",0,2.25,0,0,2.25
F000115,LAKE BUTLER FARM CENTER,300.91,247.38,215.19,159.29,922.77
F001766,"LAWN AND GARDEN PRODUCTS, INC.",0,0.7,0,0,0.7
F000699,LEBANON SEABOARD CORPORATION,131,122,99,109,461
F001827,LEE COUNTY,"2,730.52","6,189.62","6,394.34","5,920.68","21,235.16"
F001560,"LESCO, INC.","5,185.00","9,152.50","9,412.00","8,236.00","31,985.50"
F001495,LIBERTY ACRES FERTILIZER CORP.,72.2,198.51,599.55,260.36,"1,130.62"
F002795,"Liberty Agro, LLC",32,97.54,12,17.95,159.49
F001129,"LIDOCHEM, INC.",122,201,218,121,662
F001563,"LIGNOTECH USA, INC.",25,54,101,154,334
F001475,LILLY MILLER BRANDS,7.57,10.13,20.41,13.62,51.73
F002455,Locus Agricultural Solutions,0,1.53,1.45,2.6,5.58
F002771,Lotus Gardening Solutions,0.05,0.03,0.08,0.08,0.24
F002379,M&S Fertilizer and Farm Inc.,240.49,0,46.13,371.91,658.53
F002602,Mad Farmer,0.1,0.04,0,0,0.14
F001628,MADRID FARM SERVICE,973.78,596.03,"1,593.41","3,616.19","6,779.41"
F002510,"Magic Dirt Horticultural Products, LLC",0,0,189.98,0,189.98
F002366,MAR Green,1.06,2.55,3.31,0,6.92
F001769,MARTIN MARIETTA MAGNESIA SPECIALTIES LLC,312.26,852.13,53.79,292.06,"1,510.24"
F000661,MARTIN OPERATING PARTNERSHIP LP,22,66,50,21,159
F000642,Master Plant-Prod Inc.,8,2,0,0,10
F002387,"Maxicrop USA, Inc.",1,0,5,1,7
F001701,MAYO FERTILIZER INC.,"1,239.02","1,813.20","8,409.16","17,116.48","28,577.86"
F001667,"MAYO FERTILIZER, INC.","10,977.52","7,542.42","17,864.55","34,790.09","71,174.58"
F000395,"MAYO FERTILIZER, INC.","4,015.17","2,916.18","2,673.31","7,039.55","16,644.21"
F001958,"Mears Fertilizer, Inc.",161.7,73.85,108.5,51.45,395.5
F002128,Meherrin Ag and Chemical,0,0,0,98.66,98.66
F000612,MEHERRIN AGRICULTURAL & CHEMICAL CO.,52.3,50.47,0,29.59,132.36
F002257,Merrell Bros. Inc.,"1,126.00","1,078.00","1,017.00","1,484.00","4,705.00"
F002762,"Metzger Ag, LLC",0,0.39,0.57,0.95,1.91
F001764,MICHIGAN PEAT,64,88,121,190,463
F001969,"Micronomix, LLC",1,1,1,1,4
F000501,"MILLER CHEMICAL & FERTILIZER, LLC",89,186,218,135.75,628.75
F000648,MILWAUKEE METROPOLITAN SEWERAGE DISTRICT,"1,198.69",435.35,"1,318.18","1,832.46","4,784.68"
F001144,"MIRACLE-GRO LAWN PRODUCTS, INC.","6,618.66","12,156.51","33,203.36","32,910.25","84,888.78"
F001329,"MITCHELL COUNTY FARM SERVICE, INC.",44.33,28.68,0,90.27,163.28
F002130,"Mosaic Global Sales, LLC",0,0,296.45,"1,439.82","1,736.27"
F000529,NACHURS ALPINE SOLUTIONS,13.61,0,23.05,30.37,67.03
F002221,Natural Ag Inc,1,1,1,1,4
F001765,"NATURAL AG SOLUTIONS, LLC",56.9,0,84,47.41,188.31
F002785,Natural Biota,20,7,10,10,47
F002009,Natural Technologies Inc,0,0,1,0,1
F002140,New Millenium Garden Inc,9.12,0,0.1,0.98,10.2
F002846,"Novihum Technologies, Inc.",0,0,9.5,0,9.5
F002268,Numerator Technologies Inc.,6.4,2,3.8,2.1,14.3
F000121,NURSERYMEN''S SURE-GRO CORP.,123.35,158.75,177.24,122.02,581.36
F002740,NUTECH,3,9,7,7,26
F002613,"Nutrien Ag Solutions, Inc.","10,192.00","14,342.00","15,444.00","13,152.00","53,130.00"
F002611,"Nutrien Ag Solutions, Inc.","8,656.55","5,328.66","9,375.57","13,259.52","36,620.30"
F002614,"Nutrien Ag Solutions, Inc.","3,883.00","3,849.00","8,327.00","7,883.00","23,942.00"
F002616,"Nutrien Ag Solutions, Inc.","1,976.76","1,928.25","4,468.05","9,247.81","17,620.87"
F002612,"Nutrien Ag Solutions, Inc.",737.64,334.72,922.44,"1,355.16","3,349.96"
F002610,"Nutrien Ag Solutions, Inc.",359.64,0,0,0,359.64
F001450,"NUTRI-SOURCE, INC.",27,573.34,338.87,160.65,"1,099.86"
F001249,"OCEAN CREST SEAFOODS, INC.",5.38,2.44,5.52,10.93,24.27
F001762,OCEAN ORGANICS,14,25,31,9,79
F001632,OLDCASTLE LAWN & GARDEN SOUTH,"5,720.00","7,062.00","18,366.00","13,944.00","45,092.00"
F002737,"Omex Agrifluids, inc",0,2.19,23.36,0.41,25.96
F002101,Omya Inc.,0,0,0,323.35,323.35
F002228,"Organic Growing Solutions, LLC","1,952.86",746,"1,025.72","3,724.58","7,449.16"
F001251,"ORGANIC LABORATORIES, INC.",6,1,5.75,2,14.75
F001763,ORGANIC PRODUCTS CO/TURF PRO USA,268.5,600.5,592,236,"1,697.00"
F002559,"Oro Agri, Inc",28,10.54,3,0,41.54
F001791,"Ostara USA, LLC",82.97,21,62.8,43,209.77
F001654,"Pathway Biologic, LLC",0.78,0.66,0.98,0.68,3.1
F000987,PBI/GORDON CORPORATION,1.29,0,1,2,4.29
F001263,PCS SALES USA INC.,65,22,44.77,63,194.77
F001171,"PENNINGTON SEED, INC.",0,0,44,7,51
F002723,PF Harris Manufacturing Co.,0.02,0.13,0.21,0,0.36
F002779,Phospholutions,5.2,1.2,0.74,3.32,10.46
F001336,"PIERSON SUPPLY COMPANY, INC.",461.63,483.38,490.95,373.05,"1,809.01"
F002289,"Pinnacle Agriculture Distribution, Inc.",34.68,3.03,256.94,2.12,296.77
F002311,"Pinnacle Agriculture Distribution, Inc.",276.32,121.38,180.32,525.04,"1,103.06"
F002392,"Plant Food Company, Inc.",24,51,144,29,248
F000248,"PLANT FOOD SYSTEMS, INC.",381.6,374.57,567.84,380.7,"1,704.71"
F000572,"PLANT FOODS, INC.",229,328,472,380,"1,409.00"
F000593,"PLANT MARVEL LABORATORIES, INC.",2.25,1.81,5.89,11,20.95
F002880,Plant Products,0,0,0,63.52,63.52
F001574,"PLANT REVOLUTION, INC.",1,1,2,0,4
F001578,"Plant Science, Inc.",21,21,0,0,42
F002184,PLANTATION PRODUCTS DBA VITAMIN INSTITUTE/ SUPERTHRIVE,2.08,1.83,3.56,3.76,11.23
F001099,PRINCE ERACHEM S.A. DE C.V.,131,208,346,355,"1,040.00"
F001752,PRO PRODUCTS LLC,0,2.43,3.62,6.11,12.16
F000619,PRO SOL,0,0,1,0,1
F002018,"ProPlus Products, Inc.","1,043.00","1,587.00","1,641.00","1,247.00","5,518.00"
F001799,PROVEN WINNERS NA LLC,0,1,51,11,63
F002190,"Purely Organic Products, LLC",1.51,0.2,1.39,3.73,6.83
F002525,"Pursell Agri-Tech, LLC",333,632,"1,110.00","2,404.00","4,479.00"
F001101,QC CORPORATION,"1,370.65",459.09,"2,651.02",385.02,"4,865.78"
F001439,"QUALITY BORATE CO., LLC",82,173,154,22,431
F002490,"Quality Green Specialists, Inc.",21,18,31,30,100
F002210,Quality Liquid Feeds Inc.,24,24,0,49,97
F001852,QUEST PRODUCTS CORP,2,3,0,3,8
F001433,"R.W. GRIFFIN INDUSTRIES, LLC","1,123.84","1,379.62","2,223.84","1,022.65","5,749.95"
F002786,"Rachio, Inc.",0,0,0.11,0.55,0.66
F002564,Ralco Nutrition Inc.,0.33,0,0.04,0,0.37
F002496,RED RIVER SPECIALTIES LLC,0,0.14,2.5,0,2.64
F001388,"REDOX CHEMICALS, LLC",12,8,6,12,38
F000968,REGAL CHEMICAL COMPANY,102.02,34.2,58.05,61.16,255.43
F002038,Residex LLC,142,330.92,278,565,"1,315.92"
F002250,Rhizoflora Inc,1,1,1,1,4
F001914,Rock Holdings (SA) PTY LTD,2,1,2,3,8
F002704,ROGITEX INC,0,0,0.11,0,0.11
F002413,Rolf C Hagen USA Corp,1,1,0,0,2
F002871,Sanchem Inc-Enhanced Organics,0,0,0,1,1
F002414,SBM Life Science Corp.,4.54,12,48.89,9,74.43
F002316,Schaeffer Manufacturing Co.,0,1.27,0,0.25,1.52
F002370,SCL Americas Inc.,8,0,0,0,8
F001198,"SCOTTS MIRACLE-GRO PRODUCTS, INC.",66.01,66.86,307.36,185.11,625.34
F001414,"SDT INDUSTRIES, INC.",63,43,35,39,180
F001999,"SEAAGRI, inc.",2,25,2,3,32
F001506,"SEACHEM LABORATORIES, INC.",0.58,1.21,0.86,0.84,3.49
F001871,SHELLEY''S ENVIRONMENTAL SYSTEMS,0,36,0,200,236
F001874,Showcase of Citrus,0,0,20,0,20
F001968,Sigma AgriScience,108,3,3,0,114
F002220,"Sipcam Agro USA, Inc.",0,0.92,0,0,0.92
F002904,Sirius Minerals Plc,0,0,0,15,15
F002050,SJ Enterprises PTY LTD,3.44,2.42,2.2,1.8,9.86
F002629,Soil Technologies Corp,1,1,1,0,3
F002565,SoilBiotics,116,46,47,49,258
F002395,"Soilblend, Inc.",0,0,0,32,32
F001732,"SOLU-CAL USA, LTD.",0,2,5,6,13
F001980,"SOLUTIONS 4 EARTH, LLC",10.86,6.08,8.88,2.84,28.66
F001666,"SOUTHEAST PARTNERS, INC.",29.72,19.79,30.12,20.63,100.26
F000672,"SOUTHERN AGRICULTURAL INSECTICIDES, INC.",131,116,140.29,181,568.29
F001981,SOUTHERN ORGANICS & SUPPLY,1,5,2,3,11
F001310,"Southern States Cooperative, Inc.",0,"1,590.37",0,0,"1,590.37"
F001074,SPECTRUM GROUP,3,5,8,1,17
F000232,"SPRAY-N-GROW, INC.",0.14,1.57,0.5,0.96,3.17
F001928,Stark Bros Nurseries & Orchards Co,0,1,1,1,3
F002399,"Stoller Enterprises, Inc.",26,8,20,21,75
